
FUWANGFOOD,21.5,21.6,20.2,21.5,20.6,0.9,2,751,184.649,8,752,880

GBBPOWER,21.9,22.4,21.8,21.9,22.2,-0.3,521,13.095,596,904

GEMINISEA,355,355,331.4,347.6,335.4,19.6,1,964,49.134,143,539

GENEXIL,88.2,90,87,88.2,87.5,0.7,1,987,92.547,1,048,408

GENNEXT,6.1,6.3,6.1,6.1,6.2,-0.1,133,2.084,336,837

GHAIL,19.8,20.2,19.8,19.8,20.2,-0.4,904,46.257,2,329,126

GHCL,31.8,31.8,31.5,31.6,31.8,0,11,0.066,2,100

GLOBALINS,37,38.1,35,37,35.5,1.5,737,19.439,534,699

GOLDENSON,17.3,17.7,17.1,17.3,17.3,0,240,5.003,290,407

GP,307.1,310,306.7,307.1,307.5,-0.4,468,16.012,52,151

GPHISPAT,53.7,54.1,53.4,53.7,53.8,-0.1,742,35.186,655,275

GQBALLPEN,105.7,106.8,105.5,105.7,107.5,-1.8,128,2.375,22,413

GRAMEENS2,15.7,15.9,15.7,15.7,15.8,-0.1,67,2.975,188,826

GREENDELMF,7.2,7.2,7,7,7.1,0.1,52,1.233,172,935

GREENDELT,71.7,74,70.5,71.7,70.9,0.8,336,6.421,88,535

GSPFINANCE,33.4,33.6,32.5,33.4,33,0.4,1,328,167.182,5,047,063

HAKKANIPUL,52.8,54.3,52.5,52.8,53,-0.2,179,1.736,32,857

HEIDELBCEM,0,0,0,209.1,209.1,--,0,0,0

HFL,20.8,21.2,20.6,20.8,21,-0.2,477,11.967,575,814

HRTEX,73.8,74.2,72.9,73.8,73.6,0.2,139,5.409,73,490

HWAWELLTEX,46.3,47.5,45,45.3,45.5,0.8,23,1.021,21,667

IBNSINA,288,290,287,288.3,288.2,-0.2,52,1.432,4,950

IBP,18,18.1,17.7,17.9,18,0,257,9.732,546,398

ICB,101.1,102.2,100.4,101.1,102.2,-1.1,130,1.721,17,014

ICB3RDNRB,7,7,6.8,7,6.8,0.2,64,1.532,221,564

ICBAGRANI1,0,0,0,9.3,9.3,--,0,0,0

ICBAMCL2ND,8.8,9,8.6,8.8,8.6,0.2,109,2.89,328,508

ICBEPMF1S1,7,7.1,7,7.1,7,0,28,0.81,114,205

ICBIBANK,4.6,4.6,4.5,4.6,4.4,0.2,108,1.823,396,352

ICBSONALI1,8.1,8.2,8,8.1,8.1,0,21,0.338,41,622

IDLC,50.4,51.5,50.1,50.3,51.1,-0.7,358,11.643,231,899

IFADAUTOS,49.8,51.4,49.5,49.8,50.2,-0.4,407,14.44,289,613

IFIC,12.7,13,12.7,12.7,12.8,-0.1,1,036,48.402,3,793,997

IFIC1STMF,5.3,5.5,5.3,5.3,5.4,-0.1,79,3.432,639,411

IFILISLMF1,6.7,6.7,6.6,6.6,6.7,0,14,0.081,12,234

ILFSL,5.5,5.6,5.4,5.5,5.5,0,77,1.806,329,276

IMAMBUTTON,79.6,80,75.4,79.6,75.3,4.3,612,15.511,198,451

INDEXAGRO,100.1,102,99.7,100.1,101.6,-1.5,116,2.204,22,037

INTECH,27.5,27.9,27.4,27.5,27.9,-0.4,80,1.759,63,885

INTRACO,20.8,20.8,20.6,20.8,20.8,0,211,7.894,380,714

IPDC,52.6,53.6,52.6,52.6,53.6,-1,872,104.665,1,982,231

ISLAMIBANK,32.3,32.5,31.9,32.3,31.9,0.4,213,15.523,481,742

ISLAMICFIN,0,0,0,23.6,23.6,--,0,0,0

ISLAMIINS,46.6,47.1,43.1,46.6,43,3.6,538,13.326,291,857

ISNLTD,43.2,43.9,43,43.2,43.3,-0.1,162,4.443,102,291

ITC,34.3,34.9,33.8,34.3,34.4,-0.1,154,2.264,66,183

JAMUNABANK,21.6,21.7,21,21.6,21.3,0.3,120,7.942,368,081

JAMUNAOIL,168,168.6,167.5,167.6,167.1,0.9,22,0.867,5,176

JANATAINS,38.6,39.2,35.6,38.6,35.8,2.8,365,5.933,154,294

JHRML,77.3,78.4,77.3,77.3,78.8,-1.5,2,989,118.815,1,534,414

JMISMDL,307.7,313.3,304.9,305.1,305.1,2.6,105,2.137,6,999

JUTESPINN,127,130,127,128.2,129.4,-2.4,14,0.067,521

KARNAPHULI,36.4,37.7,35.9,36.4,35.9,0.5,585,15.934,433,035

KAY&QUE,247.5,252.9,243.7,247.5,247.9,-0.4,15,0.175,705

KBPPWBIL,11.9,12.2,11.8,11.9,12,-0.1,121,2.272,190,720

KDSALTD,55.1,56.1,54.6,55.1,55.7,-0.6,200,5.554,100,184

KEYACOSMET,7,7.2,7,7,7.1,-0.1,367,15.529,2,207,453

KOHINOOR,392.9,395.2,388.1,392.8,393.6,-0.7,102,0.995,2,539

KPCL,28.4,28.9,28.1,28.4,28.6,-0.2,184,4.033,142,359

KPPL,8.8,9,8.8,8.8,8.9,-0.1,43,0.527,59,609

KTL,32.1,32.6,32.1,32.1,32.7,-0.6,173,6.17,192,119

LANKABAFIN,30.1,30.7,29.9,30.1,30.5,-0.4,748,35.316,1,171,514

LEGACYFOOT,55.9,55.9,54.3,54.9,55,0.9,62,0.643,11,764

LHBL,72.3,73,72,72.3,73,-0.7,989,68.582,947,148

LIBRAINFU,839.3,847.9,814,839.3,829.9,9.4,135,2.026,2,429

LINDEBD,1,404,1,420,1,401.8,1,405.3,1,401.8,2.2,167,5.565,3,962

LOVELLO,42.2,43.2,42.2,42.2,43,-0.8,706,32.842,775,155

LRBDL,38.6,39.5,38,38.6,38,0.6,1,344,32.223,831,590

LRGLOBMF1,6.6,6.7,6.6,6.6,6.6,0,36,0.265,40,107

MAKSONSPIN,23.6,23.9,23.4,23.6,23.7,-0.1,475,22.041,933,054

MALEKSPIN,27.4,28.1,27.2,27.4,27.7,-0.3,424,15.406,557,346

MARICO,2,344.8,2,359,2,342.1,2,344.8,2,349.9,-5.1,68,4.302,1,830

MATINSPINN,67.5,68.2,67,67.5,68.3,-0.8,336,12.797,189,591

MBL1STMF,8.3,8.3,8.1,8.2,8.1,0.2,141,4.283,521,479

MEGCONMILK,18.8,19.2,18.7,18.8,19,-0.2,62,1.003,53,359

MEGHNACEM,68.2,72,68.2,68.3,69.5,-1.3,50,0.26,3,781

MEGHNALIFE,69,69.9,67,68.9,67,2,166,4.697,68,468

MEGHNAPET,25.1,25.9,24.9,25,25.1,0,47,0.56,22,324

MERCANBANK,15.1,15.2,14.9,15.1,15,0.1,179,6.895,459,364

MERCINS,40,40.8,38.8,40,38.1,1.9,152,2.267,56,688

METROSPIN,21,21.3,20.8,20.9,21.1,-0.1,148,2.461,117,305

MHSML,28.4,29.8,28.4,28.4,28.9,-0.5,179,4.659,163,393

MIDASFIN,14.1,14.2,13.9,13.9,14.1,0,87,1.165,83,190

MIRACLEIND,25.9,26.4,25.6,25.9,26.1,-0.2,156,2.846,110,389

MIRAKHTER,54.3,55.3,54,54,55,-0.7,134,2.505,46,006

MITHUNKNIT,15.1,15.8,15,15.1,15.3,-0.2,33,0.21,13,867

MJLBD,88.5,90.4,88.5,88.6,89.5,-1,56,0.75,8,435

MLDYEING,21.6,21.8,21.3,21.6,21.6,0,156,2.701,125,472

MONNOAGML,463.8,474.9,462.1,465.2,464.6,-0.8,70,1.145,2,452

MONNOCERA,101.2,102.6,100.6,100.9,101.3,-0.1,262,3.558,34,998

MONNOFABR,20,20.9,19.8,20,20.2,-0.2,172,3.462,172,901

MONOSPOOL,185.3,189.8,183.9,185.3,187.6,-2.3,611,9.931,53,440

MPETROLEUM,199.6,200.7,199,199.6,200.2,-0.6,163,7.437,37,259

MTB,18.3,18.4,18.1,18.3,18.2,0.1,29,0.814,44,554

NAHEEACP,67.3,67.6,66.5,67,67.3,0,434,19.193,286,572

NATLIFEINS,182.4,183.4,180,180.3,180,2.4,20,0.238,1,322

NAVANACNG,26.9,27.4,26.9,26.9,27.4,-0.5,97,1.111,41,144

NBL,7.5,7.5,7.3,7.5,7.3,0.2,581,54.382,7,312,492

NCCBANK,15.6,15.8,15.5,15.6,15.6,0,203,13.837,887,203

NCCBLMF1,7,7.1,7,7,7,0,31,0.347,49,502

NEWLINE,46.9,46.9,46.9,46.9,45.6,1.3,15,1.956,41,700

NFML,18,18.3,17.9,18,18.2,-0.2,366,9.585,532,201

NHFIL,44,44.9,43.8,44,44.6,-0.6,446,17.315,393,918

NITOLINS,46.1,46.9,45.2,46.1,43.9,2.2,239,6.931,150,268

NLI1STMF,0,0,0,14.4,14.4,--,0,0,0

NORTHERN,232,244,231.4,231.9,233.9,-1.9,75,0.827,3,545

NORTHRNINS,47,48.2,46.1,47.2,45.4,1.6,109,1.923,40,474

NPOLYMER,51.8,52.5,51.6,51.8,52.5,-0.7,556,19.588,377,211

NRBCBANK,21.6,22.2,21.4,21.6,21.7,-0.1,601,28.023,1,290,928

NTC,665.7,692.7,663.6,665.7,677.1,-11.4,106,1.944,2,905

NTLTUBES,77.9,80.5,76.5,76.8,78,-0.1,124,2.177,28,245

NURANI,6.6,6.8,6.6,6.6,6.7,-0.1,118,1.757,265,154

OAL,10.8,10.9,10.6,10.7,10.8,0,222,4.524,422,351

OIMEX,17.9,18.7,17.9,17.9,18.2,-0.3,124,1.613,89,974

OLYMPIC,124,127,123.4,124,124.2,-0.2,293,5.164,41,363

ONEBANKLTD,11.6,11.7,11.2,11.6,11.4,0.2,639,45.974,4,056,165

ORIONINFU,81.4,82,81,81.4,81.5,-0.1,229,4.563,56,151

ORIONPHARM,92.5,94.3,91.6,92.5,93.1,-0.6,1,553,269.762,2,889,854

PADMALIFE,50.9,51.5,48.6,50.9,48.6,2.3,383,16.114,318,963

PADMAOIL,212,212,203.6,211,207.5,4.5,79,3.836,18,373

PAPERPROC,188.6,191.9,185.1,188.6,188.8,-0.2,1,408,25.492,135,635

PARAMOUNT,48.3,50,46.9,48.3,46.5,1.8,539,10.4,213,427

PDL,11.7,12,11.6,11.7,11.8,-0.1,306,7.034,600,880

PENINSULA,30.1,30.4,29.8,30.1,30.4,-0.3,492,10.917,363,901

PEOPLESINS,52.4,52.9,49.2,52.4,49.9,2.5,1,036,35.001,680,707

PF1STMF,10.4,10.5,10.2,10.4,10.4,0,81,2.01,194,638

PHARMAID,790.5,810,785.2,790.5,799.7,-9.2,406,12.587,15,880

PHENIXINS,43,44,40.3,43,40.8,2.2,317,9.202,215,125

PHOENIXFIN,18.7,19,18.6,18.7,18.8,-0.1,62,2.837,151,590

PHPMF1,5.3,5.4,5.2,5.3,5.3,0,48,0.49,92,511

PIONEERINS,77.6,79.3,74.7,77.6,74.5,3.1,956,31.743,412,347

PLFSL,0,0,0,3,3,--,0,0,0

POPULAR1MF,5.2,5.3,5.1,5.2,5.2,0,75,1.684,323,935

POPULARLIF,67,69.1,66.8,67.4,67.9,-0.9,202,3.896,57,078

POWERGRID,56.4,57.5,56.1,56.4,56.9,-0.5,355,10.806,190,942

PRAGATIINS,61.5,63,60.1,61.5,60.5,1,235,5.249,84,684

PRAGATILIF,77.8,79.9,77.5,77.8,77.4,0.4,142,5.32,67,546

PREMIERBAN,13.6,13.6,13.3,13.6,13.4,0.2,499,24.384,1,808,970

PREMIERCEM,46.5,47.3,46.5,46.5,47.4,-0.9,532,13.502,289,232

PREMIERLEA,6.7,6.8,6.7,6.7,6.8,-0.1,59,0.692,102,677

PRIME1ICBA,7.5,7.5,7.5,7.5,7.6,-0.1,4,0.021,2,830

PRIMEBANK,19.9,19.9,19.7,19.8,19.9,0,66,2.722,137,244

PRIMEFIN,11.2,11.3,11.1,11.2,11.2,0,170,5.441,488,135

PRIMEINSUR,72.3,77.9,72.3,72.3,73.7,-1.4,405,29.947,412,256

PRIMELIFE,58.8,59.4,56.6,58.3,57.3,1.5,153,6.107,104,470

PRIMETEX,25.6,25.8,25.4,25.4,25.5,0.1,149,2.268,88,796

PROGRESLIF,77,79.2,77,78,77.5,-0.5,70,2.338,29,890

PROVATIINS,66.1,66.5,61.6,66.1,70.2,-4.1,2,976,92.545,1,426,203

PTL,78.8,79.8,77.2,77.8,78.7,0.1,316,12.879,165,487

PUBALIBANK,24.7,25,24.5,24.7,24.6,0.1,67,1.377,56,021

PURABIGEN,30.3,30.3,28.2,30,28.2,2.1,505,8.024,270,571

QUASEMIND,59.3,59.8,58.4,59.3,59.2,0.1,761,34.456,585,164

QUEENSOUTH,23.8,24.2,23.7,23.8,24,-0.2,477,19.821,828,095

RAHIMAFOOD,269.7,270.5,256,269.7,248.8,20.9,1,982,62.181,234,369

RAHIMTEXT,220,220.8,218.8,219.7,220.8,-0.8,79,1.196,5,451

RAKCERAMIC,43.8,45.7,43.4,43.8,43.4,0.4,515,15.694,357,495

RANFOUNDRY,172.3,173.6,171.1,172.3,174.3,-2,177,2.464,14,343

RDFOOD,45.4,46.5,45.4,45.4,46.3,-0.9,810,33.543,735,278

